section,item,details
Insufficient exact data,what happens when you type a url in the browser,US — 2024-08-01 to 2026-08-24
Insufficient exact data,frontend backend database,UK — 2024-08-01 to 2026-08-24; UK — 2021-08-24 to 2026-08-24
Insufficient exact data,how to reproduce a bug,UK — 2024-08-01 to 2026-08-24
Insufficient exact data,bug triage process,UK — 2024-08-01 to 2026-08-24
Insufficient exact data,mvp vs prototype vs poc,UK — 2024-08-01 to 2026-08-24; UK — 2021-08-24 to 2026-08-24
Insufficient exact data,prototype vs production software,US — 2024-08-01 to 2026-08-24; US — 2021-08-24 to 2026-08-24; UK — 2024-08-01 to 2026-08-24; Worldwide — 2024-08-01 to 2026-08-24; Worldwide — 2021-08-24 to 2026-08-24
Insufficient exact data,vibe coding for beginners,UK — 2024-08-01 to 2026-08-24; UK — 2021-08-24 to 2026-08-24
Insufficient exact data,build mvp with ai,UK — 2024-08-01 to 2026-08-24; UK — 2021-08-24 to 2026-08-24
Insufficient exact data,claude code for non technical people,US — 2024-08-01 to 2026-08-24; UK — 2024-08-01 to 2026-08-24; Worldwide — 2024-08-01 to 2026-08-24; Worldwide — 2021-08-24 to 2026-08-24
Insufficient exact data,lovable for beginners,UK — 2024-08-01 to 2026-08-24
Insufficient exact data,vibe coding production apps,US — 2024-08-01 to 2026-08-24
Fallback used,what happens when you type a url in the browser → what happens when you type a url,US — 2024-08-01 to 2026-08-24
Fallback used,frontend backend database → frontend backend,UK — 2024-08-01 to 2026-08-24; UK — 2021-08-24 to 2026-08-24
Fallback used,how to reproduce a bug → reproduce a bug,UK — 2024-08-01 to 2026-08-24
Fallback used,bug triage process → bug triage,UK — 2024-08-01 to 2026-08-24
Fallback used,mvp vs prototype vs poc → mvp vs prototype,UK — 2024-08-01 to 2026-08-24; UK — 2021-08-24 to 2026-08-24
Fallback used,prototype vs production software → prototype vs production,US — 2024-08-01 to 2026-08-24; US — 2021-08-24 to 2026-08-24; UK — 2024-08-01 to 2026-08-24; Worldwide — 2024-08-01 to 2026-08-24; Worldwide — 2021-08-24 to 2026-08-24
Fallback used,vibe coding for beginners → vibe coding,UK — 2024-08-01 to 2026-08-24; UK — 2021-08-24 to 2026-08-24
Fallback used,build mvp with ai → ai mvp,UK — 2024-08-01 to 2026-08-24; UK — 2021-08-24 to 2026-08-24
Fallback used,claude code for non technical people → Claude Code,US — 2024-08-01 to 2026-08-24; UK — 2024-08-01 to 2026-08-24; Worldwide — 2024-08-01 to 2026-08-24; Worldwide — 2021-08-24 to 2026-08-24
Fallback used,lovable for beginners → Lovable AI,UK — 2024-08-01 to 2026-08-24
Fallback used,vibe coding production apps → vibe coding,US — 2024-08-01 to 2026-08-24
Ambiguous term/category,how to reproduce a bug / reproduce a bug,May include non-software meanings. Collected as Search terms in All categories; no category override was applied.
Ambiguous term/category,mvp vs prototype vs poc / mvp vs prototype,MVP can have non-product meanings. The exact phrases and fallback were retained in All categories.
Ambiguous term/category,Lovable,Required comparison term can also be an adjective. It was preserved exactly as a Search term in All categories.
Ambiguous term/category,application architecture explained,May include broader software-architecture learning intent. It was retained in All categories.
Category change,None,Every run used Google Web Search and All categories (category 0).
Unavailable field,Absolute query volume,"Google Trends supplies normalised 0–100 interest, not absolute searches."
Unavailable field,Rising percentage for Breakout,Google reports Breakout without a percentage; Breakout is preserved exactly and value_or_growth is blank.
Unavailable field,Related panels on insufficient exact runs,Google returned no related-query or related-topic panels when the exact term had no series.
Extraction limitation,Independent normalisation,Dataset A runs are independently normalised. Only rows sharing a Dataset D run_id are on a common comparison scale.
Extraction limitation,Weekly boundary,Google may return a week beginning before the requested start date when that week overlaps the selected period; the returned date is preserved.
Extraction limitation,Partial final week,The final current-week point is flagged is_partial=true in the assembled datasets.
Extraction limitation,Rendered-interface route,The anonymous endpoint was rate-limited after validation. Final datasets were assembled from cached signed-in Google Trends rendered results; early anonymous-endpoint caches are not included.
