id,user_id,step_id,step_type,response_data,created_at,updated_at,course_id_uuid,step_content
d2b8ab50-c722-43dd-a861-d4dd3103c85f,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,56,free-text-exercise,"{""title"": ""Write your community post"", ""userText"": ""TEST"", ""aiResponse"": ""I don't see any post text to review! Could you paste the community post you'd like me to check? Once you share it, I'll give you friendly feedback on:\n\n- Whether it leads with a real problem the community faces\n- How transparent it is about being their product\n- Whether the invitation to try it feels natural, not pushy\n\nJust pop the text in and I'll take a look!"", ""description"": ""Think of one online community where your target audience spends time. Write a short post that introduces your product in a helpful, transparent way. Remember to lead with the problem you're solving.""}",2026-06-20 14:12:52.634575+00,2026-06-20 14:12:52.634575+00,b7455f5a-166c-4614-a4ca-be83369ff7f1,"{""description"": ""Think of one online community where your target audience spends time. Write a short post that introduces your product in a helpful, transparent way. Remember to lead with the problem you're solving."", ""placeholder"": ""I noticed a lot of people here struggle with [specific problem]. I built a product that helps with this: [one sentence about what it does]. It has a free tier / free trial if you want to try it. Happy to answer any questions."", ""systemPrompt"": ""You are a business mentor helping a learner write a community post about their product. It should lead with a problem the community cares about, be transparent that it is their product, and invite people to try it without being pushy. If it reads like an ad or hides the commercial intent, flag it. If it does not name a specific problem, suggest how to add one. Provide friendly, concise feedback (max 4 bullet points) in British English, avoid using em dashes. End with encouragement."", ""checkerPrompt"": ""Check if this community post leads with a problem (not a product link), is transparent about it being the learner's product, and invites without being pushy. This is what they wrote:""}"
57b5154b-299d-47d4-b976-001d858b9295,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,34,free-text-exercise,"{""title"": ""Plan your lead magnet"", ""userText"": ""TEST"", ""aiResponse"": ""Hello! I notice you've just written \""TEST\"" rather than sharing your lead magnet plan.\n\nTo give you proper feedback, I'll need you to tell me:\n\n• **Who is your target audience?** (e.g. freelance designers, busy parents, small business owners)\n• **What specific problem do they struggle with?** (e.g. not enough time, confusion about X, lack of confidence in Y)\n• **What lead magnet will you create?** (e.g. checklist, template, mini-course, guide)\n\nOnce you share those details, I'll check it against our three criteria and give you friendly, honest feedback.\n\nGo ahead and share your idea whenever you're ready!"", ""description"": ""Who's your target audience and what do they struggle with? What could you create that would help them? Describe your lead magnet idea.""}",2026-06-20 14:11:50.936024+00,2026-06-20 14:11:50.936024+00,b7455f5a-166c-4614-a4ca-be83369ff7f1,"{""description"": ""Who's your target audience and what do they struggle with? What could you create that would help them? Describe your lead magnet idea."", ""placeholder"": ""My target audience struggles with... so I'll create a..."", ""systemPrompt"": ""You are a business mentor helping a learner plan a lead magnet for their product. They should describe what their target audience struggles with and what they will create to help. Provide friendly, concise feedback (max 4 bullet points) in British English, avoid using em dashes. Check against the three criteria: does it solve a real problem, offer unique value (not generic info you could Google), and is it realistic to create? If the lead magnet is too ambitious, suggest simplifying. End with encouragement."", ""checkerPrompt"": ""Check if the user has described what their target audience struggles with and what lead magnet they will create. It should solve a real problem and not be generic. This is their plan:""}"
1237cb8a-c5a4-4934-89fd-d5905ba72f19,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,13,free-text-exercise,"{""title"": ""Write three versions of your value proposition"", ""userText"": ""TEST"", ""aiResponse"": ""Hello! I'd be happy to help you refine your value proposition, but it looks like you haven't included your three versions yet. I just see \""TEST\"" in your message.\n\nCould you please share the three value proposition versions you've written? Once you do, I'll review each one for:\n\n- The product (what)\n- The target audience (who)\n- The value delivered (what they achieve)\n- The pain point being solved (what friction is removed)\n\nI'll then give you friendly, constructive feedback on how strong each version is and which one has the most potential.\n\nLooking forward to seeing your work!"", ""description"": ""Write three versions of your value proposition using the formula:\n\n**\""[Product] helps [who] to [achieve what] without [pain point].\""**\n\nTry different angles. Change who it's for, what it does, or what pain it removes. The goal is to find the version that sparks the most interest.""}",2026-06-20 14:09:59.300537+00,2026-06-20 14:09:59.300537+00,b7455f5a-166c-4614-a4ca-be83369ff7f1,"{""description"": ""Write three versions of your value proposition using the formula:\n\n**\""[Product] helps [who] to [achieve what] without [pain point].\""**\n\nTry different angles. Change who it's for, what it does, or what pain it removes. The goal is to find the version that sparks the most interest."", ""placeholder"": ""Version 1:...\n\nVersion 2:...\n\nVersion 3:..."", ""systemPrompt"": ""You are a business mentor helping a learner refine their value proposition. They were given the formula \""[Product] helps [who] to [achieve what] without [pain point]\"" and asked to write three versions. Provide friendly, concise feedback (max 5 bullet points) in British English, avoid using em dashes. Check if each version includes all four elements (what, who, value, pain point). If a version is too vague, suggest how to make it more specific. Highlight which version feels strongest and why. End with encouragement."", ""checkerPrompt"": ""Check if the user has written three distinct versions of their value proposition, and whether each version includes a product, a target audience, a value, and a pain point. This is what they wrote:""}"
4d3a4828-4dc0-4ca7-b6e4-b3bc5f5a9d12,fc2fffcc-7fd7-4223-8f4f-bb753132ad5e,13,free-text-exercise,"{""title"": ""Write three versions of your value proposition"", ""userText"": ""MetricLab helps Product owners to understand their customers by giving visibility into how their digital products are being used without the need of spending time gathering and structuring data to analyze it\n  "", ""aiResponse"": ""Great effort! You've written **one strong version** rather than three distinct ones. Here's my feedback:\n\n**What you've got right:**\n- All four elements are present: MetricLab (product), product owners (who), understand customers through usage visibility (value), and time spent on data gathering/structuring (pain point)\n- The pain point is specific and relatable - many product teams genuinely struggle with manual data work\n\n**Areas to develop:**\n- You need to create **two more versions** with different angles. Try varying either the target audience, the specific value benefit, or the pain point addressed\n- Consider: Would this appeal differently to analytics managers? Data-driven marketers? Startups? Each might have distinct pain points\n- Your current version is fairly comprehensive but could spawn variations like focusing on \""speed of decision-making\"" or \""avoiding costly analysis delays\""\n\n**Your strongest element:** The pain point about data structuring is concrete and immediately resonates - that's your hook to build the other versions around.\n\n**Next steps:** Write two more versions by asking yourself: What if I emphasised different benefits (e.g. confidence in decisions, cost savings, competitive advantage) or different users with similar needs? Keep that specificity you've nailed here.\n\nYou're on the right track. A bit more iteration will give you a solid toolkit for pitching!"", ""description"": ""Write three versions of your value proposition using the formula:\n\n**\""[Product] helps [who] to [achieve what] without [pain point].\""**\n\nTry different angles. Change who it's for, what it does, or what pain it removes. The goal is to find the version that sparks the most interest.""}",2026-05-20 08:24:09.252546+00,2026-05-20 08:24:09.252546+00,b7455f5a-166c-4614-a4ca-be83369ff7f1,"{""description"": ""Write three versions of your value proposition using the formula:\n\n**\""[Product] helps [who] to [achieve what] without [pain point].\""**\n\nTry different angles. Change who it's for, what it does, or what pain it removes. The goal is to find the version that sparks the most interest."", ""placeholder"": ""Version 1:...\n\nVersion 2:...\n\nVersion 3:..."", ""systemPrompt"": ""You are a business mentor helping a learner refine their value proposition. They were given the formula \""[Product] helps [who] to [achieve what] without [pain point]\"" and asked to write three versions. Provide friendly, concise feedback (max 5 bullet points) in British English, avoid using em dashes. Check if each version includes all four elements (what, who, value, pain point). If a version is too vague, suggest how to make it more specific. Highlight which version feels strongest and why. End with encouragement."", ""checkerPrompt"": ""Check if the user has written three distinct versions of their value proposition, and whether each version includes a product, a target audience, a value, and a pain point. This is what they wrote:""}"
ef1c4daa-5bb9-4732-ad75-e7d5e7255def,9be92c0c-440e-4322-a376-8a6bd3485871,34,free-text-exercise,"{""title"": ""Plan your lead magnet"", ""userText"": ""dfq"", ""aiResponse"": ""I'd be happy to help you refine your lead magnet plan! However, I notice you've just written \""dfq\"" - it looks like the details might not have come through properly.\n\nCould you tell me:\n\n• **Who is your target audience?** (e.g. small business owners, busy parents, freelancers)\n• **What specific problem do they struggle with?** (be as detailed as possible)\n• **What lead magnet will you create to help them?** (e.g. template, checklist, video tutorial, guide)\n\nOnce you share these details, I'll give you friendly feedback on whether it ticks all the boxes and is realistic to create. Looking forward to hearing your ideas!"", ""description"": ""Who's your target audience and what do they struggle with? What could you create that would help them? Describe your lead magnet idea.""}",2026-05-07 19:36:47.184353+00,2026-05-07 19:36:47.184353+00,b7455f5a-166c-4614-a4ca-be83369ff7f1,"{""description"": ""Who's your target audience and what do they struggle with? What could you create that would help them? Describe your lead magnet idea."", ""placeholder"": ""My target audience struggles with... so I'll create a..."", ""systemPrompt"": ""You are a business mentor helping a learner plan a lead magnet for their product. They should describe what their target audience struggles with and what they will create to help. Provide friendly, concise feedback (max 4 bullet points) in British English, avoid using em dashes. Check against the three criteria: does it solve a real problem, offer unique value (not generic info you could Google), and is it realistic to create? If the lead magnet is too ambitious, suggest simplifying. End with encouragement."", ""checkerPrompt"": ""Check if the user has described what their target audience struggles with and what lead magnet they will create. It should solve a real problem and not be generic. This is their plan:""}"
54a546bd-a938-407c-aa5d-b9d50f42eafa,9be92c0c-440e-4322-a376-8a6bd3485871,13,free-text-exercise,"{""title"": ""Write three versions of your value proposition"", ""userText"": ""klkl"", ""aiResponse"": ""Thanks for sharing! I can see you've typed \""klkl\"", but I'm not able to spot any value proposition versions in that text. \n\nHere's what I'm looking for:\n\n• **Three separate versions** using the formula: \""[Product] helps [who] to [achieve what] without [pain point]\""\n• **Four elements in each**: the product, the target audience, the value/benefit, and the pain point being removed\n\nCould you paste your three value proposition drafts? Once you do, I'll give you detailed feedback on which ones are strongest and where they might need sharpening up.\n\nLooking forward to seeing what you've come up with!"", ""description"": ""Write three versions of your value proposition using the formula:\n\n**\""[Product] helps [who] to [achieve what] without [pain point].\""**\n\nTry different angles. Change who it's for, what it does, or what pain it removes. The goal is to find the version that sparks the most interest.""}",2026-05-07 13:07:08.018787+00,2026-05-07 13:07:08.018787+00,b7455f5a-166c-4614-a4ca-be83369ff7f1,"{""description"": ""Write three versions of your value proposition using the formula:\n\n**\""[Product] helps [who] to [achieve what] without [pain point].\""**\n\nTry different angles. Change who it's for, what it does, or what pain it removes. The goal is to find the version that sparks the most interest."", ""placeholder"": ""Version 1:...\n\nVersion 2:...\n\nVersion 3:..."", ""systemPrompt"": ""You are a business mentor helping a learner refine their value proposition. They were given the formula \""[Product] helps [who] to [achieve what] without [pain point]\"" and asked to write three versions. Provide friendly, concise feedback (max 5 bullet points) in British English, avoid using em dashes. Check if each version includes all four elements (what, who, value, pain point). If a version is too vague, suggest how to make it more specific. Highlight which version feels strongest and why. End with encouragement."", ""checkerPrompt"": ""Check if the user has written three distinct versions of their value proposition, and whether each version includes a product, a target audience, a value, and a pain point. This is what they wrote:""}"
b766e1a3-e276-4581-924c-12d2449cd978,5d03e579-1f57-43ed-82b0-702181eb55c1,13,free-text-exercise,"{""title"": ""Write three versions of your value proposition"", ""userText"": ""App helps busy families to create shopping lists collaboratively without one person bearing all the responsibility\n\nApp helps busy parents to write shopping lists that save time without one person bearing all the responsibility\n\nApp helps busy families to write shopping lists together  without one person bearing all the responsibility"", ""aiResponse"": ""Great effort getting three versions down! Here's my feedback:\n\n• **All three versions include the four elements** - product (app), audience (busy families/parents), value (create/write lists, save time, do it together), and pain point (one person bearing all responsibility). Well done!\n\n• **Versions 1 and 3 are quite similar** - they're nearly identical, so you haven't quite created three distinct angles yet. Consider pivoting one version to emphasise a different benefit entirely (e.g. reducing arguments, getting kids involved, or speed).\n\n• **Version 2 is your strongest** - it's the only one that explicitly mentions \""save time,\"" which is tangible and motivating. This feels like the clearest value proposition of the three.\n\n• **Make it more specific** - \""busy families\"" is a bit broad. Which families feel this pain most acutely? Young children with many errands? Large households? Dual-income couples? Narrowing your audience will make your proposition sharper.\n\n• **Try a third angle** - perhaps focus on a different pain point (chaos, forgotten items, family conflict) or a different value (simplicity, inclusivity, speed) to genuinely differentiate your versions.\n\nYou're on the right track with version 2 as your foundation. Now refine it and experiment with two completely different angles to find what resonates most with your target market. You've got this!"", ""description"": ""Write three versions of your value proposition using the formula:\n\n**\""[Product] helps [who] to [achieve what] without [pain point].\""**\n\nTry different angles. Change who it's for, what it does, or what pain it removes. The goal is to find the version that sparks the most interest.""}",2026-04-28 20:21:00.152277+00,2026-04-28 20:21:00.152277+00,b7455f5a-166c-4614-a4ca-be83369ff7f1,"{""description"": ""Write three versions of your value proposition using the formula:\n\n**\""[Product] helps [who] to [achieve what] without [pain point].\""**\n\nTry different angles. Change who it's for, what it does, or what pain it removes. The goal is to find the version that sparks the most interest."", ""placeholder"": ""Version 1:...\n\nVersion 2:...\n\nVersion 3:..."", ""systemPrompt"": ""You are a business mentor helping a learner refine their value proposition. They were given the formula \""[Product] helps [who] to [achieve what] without [pain point]\"" and asked to write three versions. Provide friendly, concise feedback (max 5 bullet points) in British English, avoid using em dashes. Check if each version includes all four elements (what, who, value, pain point). If a version is too vague, suggest how to make it more specific. Highlight which version feels strongest and why. End with encouragement."", ""checkerPrompt"": ""Check if the user has written three distinct versions of their value proposition, and whether each version includes a product, a target audience, a value, and a pain point. This is what they wrote:""}"
d460b692-f0f1-4cbe-b733-253b29dbaf59,51457a32-e434-4112-8267-b3b102fbe1c5,56,free-text-exercise,"{""title"": ""Write your community post"", ""userText"": ""I know that we're all overwhelmed by the AI-hype. At Little Parrot, we're building a friendly community and practical courses to help women acquire AI skills. You can check the courses out here: littleparrot.app. Each course has a free challenge. I'd love your feedback if you end up trying it!"", ""aiResponse"": ""Good effort, but a few tweaks will make this stronger:\n\n• **Lead with the problem more specifically** - \""overwhelmed by AI-hype\"" is vague. Try: \""I know many women feel locked out of AI careers because courses are either too technical or assume you already know Python\"" or similar. What's the real pain point?\n\n• **You're transparent about it being your product** - great! Just consider softening \""You can check the courses out here\"" with something like \""If this resonates, we'd love you to try it\"" to feel less promotional.\n\n• **The invite is friendly but could be warmer** - \""I'd love your feedback if you end up trying it\"" works, though \""no pressure to join, but we'd genuinely appreciate your thoughts\"" feels more inviting without being pushy.\n\n• **Minor polish** - The opening sentence reads slightly like the setup to a pitch. Lead with the specific problem first, *then* mention your solution.\n\nYou're on the right track with transparency and a soft invite. Just sharpen that opening problem statement and it'll land really well. You've got this!"", ""description"": ""Think of one online community where your target audience spends time. Write a short post that introduces your product in a helpful, transparent way. Remember to lead with the problem you're solving.""}",2026-04-21 14:23:51.40355+00,2026-04-21 14:23:51.40355+00,b7455f5a-166c-4614-a4ca-be83369ff7f1,"{""description"": ""Think of one online community where your target audience spends time. Write a short post that introduces your product in a helpful, transparent way. Remember to lead with the problem you're solving."", ""placeholder"": ""I noticed a lot of people here struggle with [specific problem]. I built a product that helps with this: [one sentence about what it does]. It has a free tier / free trial if you want to try it. Happy to answer any questions."", ""systemPrompt"": ""You are a business mentor helping a learner write a community post about their product. It should lead with a problem the community cares about, be transparent that it is their product, and invite people to try it without being pushy. If it reads like an ad or hides the commercial intent, flag it. If it does not name a specific problem, suggest how to add one. Provide friendly, concise feedback (max 4 bullet points) in British English, avoid using em dashes. End with encouragement."", ""checkerPrompt"": ""Check if this community post leads with a problem (not a product link), is transparent about it being the learner's product, and invites without being pushy. This is what they wrote:""}"
99750f59-e07a-4483-8603-be7471fb25c6,51457a32-e434-4112-8267-b3b102fbe1c5,34,free-text-exercise,"{""title"": ""Plan your lead magnet"", ""userText"": ""My target audience is time-scarce women in business who struggle with being overwhelmed by the AI hype. So, I'll create a quick start guide for them to build a simple automation with AI that helps them be more effective."", ""aiResponse"": ""Great direction! Here's my feedback:\n\n• **Real problem identified** - Yes, overwhelm with AI hype is genuinely felt by busy professionals, so you've nailed an authentic pain point that resonates.\n\n• **Unique value opportunity** - \""Quick start guide\"" is a solid concept, but it's still fairly common. Consider sharpening this: what *specific* automation will you walk them through? (E.g. \""use AI to draft client emails in 2 minutes\"" rather than general AI tips.) The more concrete, the more valuable.\n\n• **Realistic to create** - Absolutely doable if you focus on one specific use case rather than covering multiple automations. A single, step-by-step walkthrough they can complete in 15-20 minutes is perfect.\n\n• **One suggestion** - Avoid generic \""be more effective\"" language. Instead, highlight the exact time saved or outcome gained (e.g. \""reclaim 5 hours weekly on admin tasks\"" or \""respond to clients faster\"").\n\nYou're onto something real here. Once you pick your one specific automation focus, this will be a genuinely helpful resource that stands out. You've got this!"", ""description"": ""Who's your target audience and what do they struggle with? What could you create that would help them? Describe your lead magnet idea.""}",2026-04-21 13:40:32.473477+00,2026-04-21 13:40:32.473477+00,b7455f5a-166c-4614-a4ca-be83369ff7f1,"{""description"": ""Who's your target audience and what do they struggle with? What could you create that would help them? Describe your lead magnet idea."", ""placeholder"": ""My target audience struggles with... so I'll create a..."", ""systemPrompt"": ""You are a business mentor helping a learner plan a lead magnet for their product. They should describe what their target audience struggles with and what they will create to help. Provide friendly, concise feedback (max 4 bullet points) in British English, avoid using em dashes. Check against the three criteria: does it solve a real problem, offer unique value (not generic info you could Google), and is it realistic to create? If the lead magnet is too ambitious, suggest simplifying. End with encouragement."", ""checkerPrompt"": ""Check if the user has described what their target audience struggles with and what lead magnet they will create. It should solve a real problem and not be generic. This is their plan:""}"
ed96e8fd-3eeb-4c8e-ab0e-cf933789058b,51457a32-e434-4112-8267-b3b102fbe1c5,13,free-text-exercise,"{""title"": ""Write three versions of your value proposition"", ""userText"": ""Little Parrot helps time-scarce women in business acquire skills in leveraging AI without having to take long courses."", ""aiResponse"": ""Great start! Here's my feedback:\n\n• **You've written one strong version, not three** - I can see you've crafted a single proposition rather than exploring three distinct angles. Try writing at least two more versions by shifting either your audience or the pain point you emphasise.\n\n• **All four elements are present and clear**: Product (Little Parrot), audience (time-scarce women in business), value (acquire AI skills), and pain point (long courses). Well done on hitting each component.\n\n• **The version you've got is solid** - it's specific enough to resonate and addresses a genuine problem. The \""time-scarce\"" detail helps us understand exactly who you're serving.\n\n• **To strengthen alternative versions, consider**: What if you shifted focus to a different pain point (e.g. \""without feeling intimidated by tech jargon\"") or a related audience (e.g. \""women returning to work\"")? This exercise helps you find your most compelling angle.\n\n• **Next step**: Write two more versions exploring different combinations, then share them all back so we can compare which resonates most strongly with your actual customers.\n\nYou're on the right track with clear, specific language. The hard work of refinement is just beginning, and that's where the magic happens!"", ""description"": ""Write three versions of your value proposition using the formula:\n\n**\""[Product] helps [who] to [achieve what] without [pain point].\""**\n\nTry different angles. Change who it's for, what it does, or what pain it removes. The goal is to find the version that sparks the most interest.""}",2026-04-21 13:14:28.877361+00,2026-04-21 13:14:28.877361+00,b7455f5a-166c-4614-a4ca-be83369ff7f1,"{""description"": ""Write three versions of your value proposition using the formula:\n\n**\""[Product] helps [who] to [achieve what] without [pain point].\""**\n\nTry different angles. Change who it's for, what it does, or what pain it removes. The goal is to find the version that sparks the most interest."", ""placeholder"": ""Version 1:...\n\nVersion 2:...\n\nVersion 3:..."", ""systemPrompt"": ""You are a business mentor helping a learner refine their value proposition. They were given the formula \""[Product] helps [who] to [achieve what] without [pain point]\"" and asked to write three versions. Provide friendly, concise feedback (max 5 bullet points) in British English, avoid using em dashes. Check if each version includes all four elements (what, who, value, pain point). If a version is too vague, suggest how to make it more specific. Highlight which version feels strongest and why. End with encouragement."", ""checkerPrompt"": ""Check if the user has written three distinct versions of their value proposition, and whether each version includes a product, a target audience, a value, and a pain point. This is what they wrote:""}"
