run_id,run_kind,input_term,source_term,fallback_term,comparison_group,comparison_terms,term_type,geography,geo_code,date_range,api_timeframe,search_type,category_id,category,retrieval_date,data_status,time_points,nonzero_points,top_queries,rising_queries,top_topics,rising_topics,partial_points,extraction_route,extraction_note,source_url
2a8e70cc2eca,comparison,,,,api_questions,what is an api | how does an api work,Search term,US,US,2024-08-01 to 2026-08-24,2024-08-01 2026-08-24,Google Web Search,0,All categories,2026-08-24,sufficient,109,109 | 56,0,0,0,0,1,Signed-in Google Trends rendered interface,,https://trends.google.com/trends/explore?date=2024-08-01%202026-08-24&geo=US&q=what%20is%20an%20api%2Chow%20does%20an%20api%20work&hl=en-GB
d496748b54bc,exact,what happens when you type a url in the browser,what happens when you type a url in the browser,,,,Search term,US,US,2024-08-01 to 2026-08-24,2024-08-01 2026-08-24,Google Web Search,0,All categories,2026-08-24,insufficient_no_series,0,0,0,0,0,0,0,Signed-in Google Trends rendered interface,Related queries panel unavailable; Related topics panel unavailable,https://trends.google.com/trends/explore?date=2024-08-01%202026-08-24&geo=US&q=what%20happens%20when%20you%20type%20a%20url%20in%20the%20browser&hl=en-GB
a2f389ceaeb5,fallback,what happens when you type a url in the browser,what happens when you type a url,what happens when you type a url,,,Search term,US,US,2024-08-01 to 2026-08-24,2024-08-01 2026-08-24,Google Web Search,0,All categories,2026-08-24,fallback_sufficient,109,2,2,2,17,7,1,Signed-in Google Trends rendered interface,,https://trends.google.com/trends/explore?date=2024-08-01%202026-08-24&geo=US&q=what%20happens%20when%20you%20type%20a%20url&hl=en-GB
c0db517e6b08,comparison,,,,api_questions,what is an api | how does an api work,Search term,US,US,2021-08-24 to 2026-08-24,2021-08-24 2026-08-24,Google Web Search,0,All categories,2026-08-24,sufficient,262,262 | 60,0,0,0,0,1,Signed-in Google Trends rendered interface,,https://trends.google.com/trends/explore?date=2021-08-24%202026-08-24&geo=US&q=what%20is%20an%20api%2Chow%20does%20an%20api%20work&hl=en-GB
8225699d39f6,exact,what happens when you type a url in the browser,what happens when you type a url in the browser,,,,Search term,US,US,2021-08-24 to 2026-08-24,2021-08-24 2026-08-24,Google Web Search,0,All categories,2026-08-24,sufficient,262,1,1,1,4,2,1,Signed-in Google Trends rendered interface,,https://trends.google.com/trends/explore?date=2021-08-24%202026-08-24&geo=US&q=what%20happens%20when%20you%20type%20a%20url%20in%20the%20browser&hl=en-GB
df148bb16234,comparison,,,,api_questions,what is an api | how does an api work,Search term,UK,GB,2024-08-01 to 2026-08-24,2024-08-01 2026-08-24,Google Web Search,0,All categories,2026-08-24,sufficient,109,108 | 2,0,0,0,0,1,Signed-in Google Trends rendered interface,,https://trends.google.com/trends/explore?date=2024-08-01%202026-08-24&geo=GB&q=what%20is%20an%20api%2Chow%20does%20an%20api%20work&hl=en-GB
b357641e767e,exact,what happens when you type a url in the browser,what happens when you type a url in the browser,,,,Search term,UK,GB,2024-08-01 to 2026-08-24,2024-08-01 2026-08-24,Google Web Search,0,All categories,2026-08-24,sufficient,109,1,0,0,1,1,1,Signed-in Google Trends rendered interface,,https://trends.google.com/trends/explore?date=2024-08-01%202026-08-24&geo=GB&q=what%20happens%20when%20you%20type%20a%20url%20in%20the%20browser&hl=en-GB
5d8426614f96,comparison,,,,api_questions,what is an api | how does an api work,Search term,UK,GB,2021-08-24 to 2026-08-24,2021-08-24 2026-08-24,Google Web Search,0,All categories,2026-08-24,sufficient,262,259 | 3,0,0,0,0,1,Signed-in Google Trends rendered interface,,https://trends.google.com/trends/explore?date=2021-08-24%202026-08-24&geo=GB&q=what%20is%20an%20api%2Chow%20does%20an%20api%20work&hl=en-GB
cc76bb2bbc0e,exact,what happens when you type a url in the browser,what happens when you type a url in the browser,,,,Search term,UK,GB,2021-08-24 to 2026-08-24,2021-08-24 2026-08-24,Google Web Search,0,All categories,2026-08-24,sufficient,262,2,0,0,2,2,1,Signed-in Google Trends rendered interface,,https://trends.google.com/trends/explore?date=2021-08-24%202026-08-24&geo=GB&q=what%20happens%20when%20you%20type%20a%20url%20in%20the%20browser&hl=en-GB
361ff1814ff5,comparison,,,,api_questions,what is an api | how does an api work,Search term,Worldwide,,2024-08-01 to 2026-08-24,2024-08-01 2026-08-24,Google Web Search,0,All categories,2026-08-24,sufficient,109,109 | 17,0,0,0,0,1,Signed-in Google Trends rendered interface,,https://trends.google.com/trends/explore?date=2024-08-01%202026-08-24&q=what%20is%20an%20api%2Chow%20does%20an%20api%20work&hl=en-GB
