comparison_group,terms,geography,date_range,date,term,interest,run_id,term_type,geo_code,search_type,category,retrieval_date,is_partial,data_status
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-07-28,what is an api,5,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-07-28,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-08-04,what is an api,5,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-08-04,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-08-11,what is an api,5,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-08-11,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-08-18,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-08-18,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-08-25,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-08-25,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-09-01,what is an api,5,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-09-01,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-09-08,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-09-08,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-09-15,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-09-15,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-09-22,what is an api,5,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-09-22,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-09-29,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-09-29,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-10-06,what is an api,5,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-10-06,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-10-13,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-10-13,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-10-20,what is an api,7,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-10-20,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-10-27,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-10-27,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-11-03,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-11-03,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-11-10,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-11-10,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-11-17,what is an api,7,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-11-17,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-11-24,what is an api,4,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-11-24,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-12-01,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-12-01,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-12-08,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-12-08,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-12-15,what is an api,6,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-12-15,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-12-22,what is an api,3,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-12-22,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-12-29,what is an api,5,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2024-12-29,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2025-01-05,what is an api,7,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2025-01-05,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2025-01-12,what is an api,7,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2025-01-12,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2025-01-19,what is an api,7,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
api_questions,what is an api | how does an api work,US,2024-08-01 to 2026-08-24,2025-01-19,how does an api work,0,2a8e70cc2eca,Search term,US,Google Web Search,All categories,2026-08-24,False,sufficient
