id,user_id,step_id,step_type,response_data,created_at,updated_at,course_id_uuid,step_content
7d1fb4c9-d9d4-465b-ae56-157653292a11,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,53,reflection,"{""text"": ""TEST"", ""title"": ""Your key takeaways"", ""subtitle"": """", ""description"": ""Take a minute and think trough what you learned in this micro-course about prompting, AI, and LLMs."", ""subDescription"": ""It's a cognitive science trick, called retrieval practice, that helps you to retain the knowledge you learned.""}",2026-05-31 17:53:57.430327+00,2026-05-31 17:53:57.430327+00,550e8400-e29b-41d4-a716-446655440000,"{""description"": ""Take a minute and think trough what you learned in this micro-course about prompting, AI, and LLMs."", ""placeholder"": ""Type your answer here..."", ""subDescription"": ""It's a cognitive science trick, called retrieval practice, that helps you to retain the knowledge you learned.""}"
d9f6785d-e410-4101-9484-49cc676a7581,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,52,quiz-question,"{""options"": [""A thinking machine with human judgement"", ""A perfect database of facts"", ""A super-powered autocomplete predicting text"", ""A person with full common sense""], ""question"": ""What's a good mental model for how an LLM works?"", ""isCorrect"": false, ""explanation"": ""LLMs generate text like an advanced autocomplete, they don't \""understand\"" but predict what comes next."", ""selectedAnswer"": ""A person with full common sense""}",2026-05-31 17:53:50.778605+00,2026-05-31 17:53:50.778605+00,550e8400-e29b-41d4-a716-446655440000,"{""options"": [""A thinking machine with human judgement"", ""A perfect database of facts"", ""A super-powered autocomplete predicting text"", ""A person with full common sense""], ""question"": ""What's a good mental model for how an LLM works?"", ""explanation"": ""LLMs generate text like an advanced autocomplete, they don't \""understand\"" but predict what comes next."", ""correctAnswer"": 2}"
e0882337-4428-44ac-aa67-49a3abbc7bbe,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,51,quiz-question,"{""options"": [""It runs out of data"", ""It randomly changes answers for no reason"", ""Its prediction process can generate variations each time"", ""It learns new facts from your prompts instantly""], ""question"": ""Why might you get a different answer when you ask an LLM the same question twice?"", ""isCorrect"": false, ""explanation"": ""LLMs rely on probabilities, so the same input can produce slightly different outputs."", ""selectedAnswer"": ""It learns new facts from your prompts instantly""}",2026-05-31 17:53:48.024912+00,2026-05-31 17:53:48.024912+00,550e8400-e29b-41d4-a716-446655440000,"{""options"": [""It runs out of data"", ""It randomly changes answers for no reason"", ""Its prediction process can generate variations each time"", ""It learns new facts from your prompts instantly""], ""question"": ""Why might you get a different answer when you ask an LLM the same question twice?"", ""explanation"": ""LLMs rely on probabilities, so the same input can produce slightly different outputs."", ""correctAnswer"": 2}"
ba13676e-cf75-48e5-9a4f-141b2ad4a00c,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,48,quiz-question,"{""options"": [""\""Use a tone that is confident, authoritative, and professional.\"""", ""\""Write in the style of Chimamanda Ngozi Adichie.\"""", ""Giving it a sample of your writing."", ""\""Write a LinkedIn post.\""""], ""question"": ""Which of the following are setting the tone and style of an output?"", ""isCorrect"": false, ""explanation"": ""Because AI learns patterns from massive amounts of text, the way you describe the output you want acts like a signal. Adjectives (\""friendly,\"" \""confident\""), adverbs (\""politely,\"" \""clearly\""), or examples of your own writing give the model a style to imitate. Referring to a well-known author or even naming the medium (\""as a LinkedIn post,\"" \""in a Slack message\"") anchors the model to familiar patterns of tone, vocabulary, and structure. In short: the more concrete your instructions, the more the AI can match the voice and context you have in mind."", ""selectedAnswer"": ""\""Write a LinkedIn post.\""""}",2026-05-31 17:53:41.842638+00,2026-05-31 17:53:41.842638+00,550e8400-e29b-41d4-a716-446655440000,"{""options"": [""\""Use a tone that is confident, authoritative, and professional.\"""", ""\""Write in the style of Chimamanda Ngozi Adichie.\"""", ""Giving it a sample of your writing."", ""\""Write a LinkedIn post.\""""], ""question"": ""Which of the following are setting the tone and style of an output?"", ""explanation"": ""Because AI learns patterns from massive amounts of text, the way you describe the output you want acts like a signal. Adjectives (\""friendly,\"" \""confident\""), adverbs (\""politely,\"" \""clearly\""), or examples of your own writing give the model a style to imitate. Referring to a well-known author or even naming the medium (\""as a LinkedIn post,\"" \""in a Slack message\"") anchors the model to familiar patterns of tone, vocabulary, and structure. In short: the more concrete your instructions, the more the AI can match the voice and context you have in mind."", ""correctAnswer"": [0, 1, 2, 3]}"
97cd07ec-c6ef-48c3-bd56-fc729c1b123f,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,47,quiz-question,"{""options"": [""They can \""hallucinate\"" or make things up"", ""They always get facts 100% right"", ""They predict text based on patterns, not understanding"", ""They can't be used for any tasks""], ""question"": ""You ask an LLM to summarise a long user research report. You get a few details wrong in the summary. What does this show about LLMs?"", ""isCorrect"": false, ""explanation"": ""LLMs don't \""understand\"" the way people do. They predict the next bit of text based on patterns they've seen in their training data. That means they can sound confident while actually making mistakes, like inventing details that weren't in your user research report. This behaviour is called hallucination. It happens because the model is generating what looks likely, not what is factually true. That's why it's important to use your own judgement and double-check important details when relying on AI."", ""selectedAnswer"": ""They can't be used for any tasks""}",2026-05-31 17:53:38.718127+00,2026-05-31 17:53:38.718127+00,550e8400-e29b-41d4-a716-446655440000,"{""options"": [""They can \""hallucinate\"" or make things up"", ""They always get facts 100% right"", ""They predict text based on patterns, not understanding"", ""They can't be used for any tasks""], ""question"": ""You ask an LLM to summarise a long user research report. You get a few details wrong in the summary. What does this show about LLMs?"", ""explanation"": ""LLMs don't \""understand\"" the way people do. They predict the next bit of text based on patterns they've seen in their training data. That means they can sound confident while actually making mistakes, like inventing details that weren't in your user research report. This behaviour is called hallucination. It happens because the model is generating what looks likely, not what is factually true. That's why it's important to use your own judgement and double-check important details when relying on AI."", ""correctAnswer"": [0, 2]}"
bb331876-8cea-433b-80df-73a1012cafee,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,46,prompting-exercise,"{""title"": ""Now it's your turn to build a strong prompt"", ""subtitle"": ""Drag and drop the best-fitting parts of the prompt from the top area into the bottom area."", ""aiResponse"": ""# Example Explanation for Your Designer Colleague\n\nHere's a casual approach you could adapt:\n\n---\n\n**\""Hey, I've been using this AI tool to help me think through design problems faster. Basically, it's like having a brainstorming partner available anytime—I can describe a UX challenge we're facing and get different angles on it, or ask it to critique a concept I'm working through.\n\nIt's not replacing my thinking; it's more like:\n- Rubber ducking on steroids (I explain my problem, it asks clarifying questions back)\n- Quick research on design patterns or similar solutions\n- A sounding board for 'does this make sense?' before I bring it to you\n\nThe tricky part is it can sound confident even when it's wrong, so I always verify anything that matters. But for things like 'what are different ways to handle empty states?' or 'talk through the pros/cons of this layout'—it's genuinely useful for moving faster.\""\n\n---\n\n**Why this works:**\n- Explains the *value* (faster thinking, not replacement)\n- Acknowledges limitations (can be wrong)\n- Shows it's a *tool in your process*, not replacing human judgment\n- Uses relatable language (\""rubber ducking\"")\n\nWant me to adjust the tone depending on your relationship with this colleague?"", ""description"": ""Once you've placed them, click the *pencil* icon to customise the wording so it fits your own style."", ""targetItems"": [{""id"": ""purpose1"", ""content"": ""Give me an example explanation I could share with my designer colleague.""}]}",2026-05-31 17:53:35.264283+00,2026-05-31 17:53:35.264283+00,550e8400-e29b-41d4-a716-446655440000,"{""description"": ""Once you've placed them, click the *pencil* icon to customise the wording so it fits your own style."", ""sourceItems"": [{""id"": ""base1"", ""content"": ""Explain what Redis is to a product manager.""}, {""id"": ""base2"", ""content"": ""Describe Redis simply, without technical jargon.""}, {""id"": ""context1"", ""content"": ""Explain how Redis is commonly used in software products.""}, {""id"": ""context2"", ""content"": ""Show typical use cases for Redis in product development.""}, {""id"": ""context3"", ""content"": ""Include one example of how a product team might rely on Redis.""}, {""id"": ""purpose1"", ""content"": ""Give me an example explanation I could share with my designer colleague.""}], ""targetItems"": [], ""hideSourceItems"": false, ""workImmediately"": false, ""isPlainAIResponse"": true}"
765c97c5-246c-4244-ad3c-15031d8c6c87,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,45,free-text-exercise,"{""title"": ""Prompting strategy"", ""subtitle"": """", ""userText"": ""TEST\n"", ""aiResponse"": ""# Feedback Template Ready\n\nI'm all set to give you supportive feedback on prompts about explaining technical concepts like Redis. \n\nJust share the learner's answer—what details they'd include when asking AI to explain Redis and why it matters for their product—and I'll give them friendly, practical guidance on whether they've nailed the three key elements:\n\n1. **Level of explanation** (plain English vs. technical)\n2. **Context** (how it fits into their product)\n3. **Purpose** (why they need it—e.g., for a stand-up, investor chat, etc.)\n\nReady when you are! 👍"", ""description"": ""Imagine you're writing a prompt asking AI to explain *what Redis is* and *why it's relevant for your product*.\n\nWhat key details would you include so the answer is clear and useful for you as a PM?\n\n**Think about:**\n- The level of explanation you need (plain English vs. technical)\n- The context (how it's used in your product)\n- The purpose (e.g. so you can talk about it in stand-up)\n\nWrite down the details you'd add to the prompt. When you're done, hit *Check* to get AI feedback on how to structure a stronger prompt.""}",2026-05-31 17:53:24.475191+00,2026-05-31 17:53:24.475191+00,550e8400-e29b-41d4-a716-446655440000,"{""description"": ""Imagine you're writing a prompt asking AI to explain *what Redis is* and *why it's relevant for your product*.\n\nWhat key details would you include so the answer is clear and useful for you as a PM?\n\n**Think about:**\n- The level of explanation you need (plain English vs. technical)\n- The context (how it's used in your product)\n- The purpose (e.g. so you can talk about it in stand-up)\n\nWrite down the details you'd add to the prompt. When you're done, hit *Check* to get AI feedback on how to structure a stronger prompt."", ""placeholder"": ""Type your answer here..."", ""systemPrompt"": ""You are a mentor guiding a product manager learning how to prompt AI effectively.  The learner has been asked: *\""Imagine you're writing a prompt asking AI to explain what Redis is and why it's relevant for your product. What key details would you include so the answer is clear and useful for you as a PM?\"" *Your job is to give short, supportive feedback on their answer.  **Instructions:**- Always use a friendly, clear, understated tone.  - Keep feedback to 2-3 sentences.  - Write in **British English**.  - If their answer is vague (e.g. \""explain Redis\""), tell them to add:    - the level of explanation they want (plain English vs. technical)    - the context (how it's used in their product)    - the purpose (why they need the explanation, e.g. for a stand-up).  - If they include one or two of those, praise them, then suggest what's missing.  - If they include all three (clarity + context + purpose), praise them and confirm it's a strong prompt.  **Output style:**- Supportive and conversational (e.g. \""Good start…\"" / \""Nice — asking for plain English makes a big difference…\"").  - No jargon, no overexplaining.  - End with encouragement (e.g. \""That's how you get answers you can actually use.\"")."", ""checkerPrompt"": """"}"
b7bbbd65-56b9-4047-811e-4a14cf9caaa4,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,42,reflection,"{""text"": ""TEST"", ""title"": ""Micro-reflection"", ""description"": ""In one or two sentences, write down how you'd explain \""What is an AI model?\"" to a colleague new to AI."", ""subDescription"": ""Use your own words. This helps you remember better!""}",2026-05-31 17:52:53.49574+00,2026-05-31 17:52:53.49574+00,550e8400-e29b-41d4-a716-446655440000,"{""description"": ""In one or two sentences, write down how you'd explain \""What is an AI model?\"" to a colleague new to AI."", ""placeholder"": ""Type your answer here..."", ""subDescription"": ""Use your own words. This helps you remember better!""}"
c00ebd90-40c9-4e24-be4c-6acc154f1af4,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,41,quiz-question,"{""options"": [""They must always be images."", ""The input must be text and the output must be text."", ""They can be text, images, audio, or other data."", ""There's no input or output.""], ""question"": ""What's true about an AI model's inputs and outputs?"", ""isCorrect"": false, ""explanation"": ""An AI model can handle different data types – text, images, audio – depending on what it's trained for. It always takes an input and gives an output."", ""selectedAnswer"": ""There's no input or output.""}",2026-05-31 17:52:49.990216+00,2026-05-31 17:52:49.990216+00,550e8400-e29b-41d4-a716-446655440000,"{""options"": [""They must always be images."", ""The input must be text and the output must be text."", ""They can be text, images, audio, or other data."", ""There's no input or output.""], ""question"": ""What's true about an AI model's inputs and outputs?"", ""explanation"": ""An AI model can handle different data types – text, images, audio – depending on what it's trained for. It always takes an input and gives an output."", ""correctAnswer"": 2}"
664954e7-cf18-4b63-809a-cb04c8de33b2,443a3bc1-dd69-43ee-9ac4-bb18b56f374d,40,quiz-question,"{""options"": [""human language"", ""classifying images"", ""spotting trends"", ""generating video""], ""question"": ""A Large Language Model is a type of AI model that's specialised in _________."", ""isCorrect"": false, ""explanation"": ""Because a Large Language Model (LLM) is specifically trained on huge amounts of text data to learn the patterns, structure, and meaning of human language. So it can understand prompts, generate text, summarise, answer questions, or even help you brainstorm."", ""selectedAnswer"": ""spotting trends""}",2026-05-31 17:52:46.997062+00,2026-05-31 17:52:46.997062+00,550e8400-e29b-41d4-a716-446655440000,"{""options"": [""human language"", ""classifying images"", ""spotting trends"", ""generating video""], ""question"": ""A Large Language Model is a type of AI model that's specialised in _________."", ""explanation"": ""Because a Large Language Model (LLM) is specifically trained on huge amounts of text data to learn the patterns, structure, and meaning of human language. So it can understand prompts, generate text, summarise, answer questions, or even help you brainstorm."", ""correctAnswer"": 0}"
