id,user_id,step_id,step_type,response_data,created_at,updated_at,course_id_uuid,step_content
e164c2fa-728f-4af5-bb5e-26e06784b788,c76fb6c1-a149-49ad-853b-616a160bfe24,42,reflection,"{""text"": ""TEST"", ""title"": ""Micro-reflection"", ""description"": ""Think of your current project. What's one component or design term from this section that you'll use in your next prompt?"", ""subDescription"": ""Having specific vocabulary ready makes prompting so much faster. You're building a design toolkit in your head!""}",2026-06-20 13:37:45.870423+00,2026-06-20 13:37:45.870423+00,4794366d-b807-4804-8fd5-64c3a5a03472,"{""description"": ""Think of your current project. What's one component or design term from this section that you'll use in your next prompt?"", ""placeholder"": ""Type your answer here..."", ""subDescription"": ""Having specific vocabulary ready makes prompting so much faster. You're building a design toolkit in your head!""}"
7f93b783-8d11-4518-9b6a-4b52f74646fb,c76fb6c1-a149-49ad-853b-616a160bfe24,41,quiz-question,"{""options"": [""A colour"", ""A font style"", ""A design system pattern"", ""A component name""], ""question"": ""What does a hex code like `#fdb226` represent?"", ""isCorrect"": false, ""explanation"": ""Hex codes are precise colour values used in digital design. But remember, you can also just say \""warm yellow\"" and the AI app builder will understand!\n\nUse hex codes when you need an exact shade; use words when close enough is fine."", ""selectedAnswer"": ""A component name""}",2026-06-20 13:37:42.799876+00,2026-06-20 13:37:42.799876+00,4794366d-b807-4804-8fd5-64c3a5a03472,"{""options"": [""A colour"", ""A font style"", ""A design system pattern"", ""A component name""], ""question"": ""What does a hex code like `#fdb226` represent?"", ""explanation"": ""Hex codes are precise colour values used in digital design. But remember, you can also just say \""warm yellow\"" and the AI app builder will understand!\n\nUse hex codes when you need an exact shade; use words when close enough is fine."", ""correctAnswer"": 0}"
b0d40706-4ea1-4915-88fc-696b559b9464,c76fb6c1-a149-49ad-853b-616a160bfe24,40,quiz-question,"{""options"": [""When you need the user to trigger an action"", ""When you want to collect user input"", ""When you need a navigation bar"", ""When you want to group related content like an article preview""], ""question"": ""When is a card the most suitable component?"", ""isCorrect"": false, ""explanation"": ""Cards are perfect for grouping related info: a product preview, a blog post summary, a recipe. They're like little containers with a nice border that says \""these things belong together.\"""", ""selectedAnswer"": ""When you need a navigation bar""}",2026-06-20 13:37:39.578464+00,2026-06-20 13:37:39.578464+00,4794366d-b807-4804-8fd5-64c3a5a03472,"{""options"": [""When you need the user to trigger an action"", ""When you want to collect user input"", ""When you need a navigation bar"", ""When you want to group related content like an article preview""], ""question"": ""When is a card the most suitable component?"", ""explanation"": ""Cards are perfect for grouping related info: a product preview, a blog post summary, a recipe. They're like little containers with a nice border that says \""these things belong together.\"""", ""correctAnswer"": 3}"
9e67ca19-4ee6-48b3-9b7f-c8d87836bc07,c76fb6c1-a149-49ad-853b-616a160bfe24,39,quiz-question,"{""options"": [""It reduces the number of screens you need"", ""It improves colour contrast automatically"", ""It shortens the prompt"", ""It helps the tool understand exactly what to generate""], ""question"": ""Why is naming components in your prompt helpful for vibe coding tools?"", ""isCorrect"": true, ""explanation"": ""When you say \""modal\"" instead of \""pop-up thing,\"" the AI app builder knows exactly what to build. Precision in, precision out!\n\nThe clearer your vocabulary, the fewer revision rounds you'll need."", ""selectedAnswer"": ""It helps the tool understand exactly what to generate""}",2026-06-20 13:37:35.910136+00,2026-06-20 13:37:35.910136+00,4794366d-b807-4804-8fd5-64c3a5a03472,"{""options"": [""It reduces the number of screens you need"", ""It improves colour contrast automatically"", ""It shortens the prompt"", ""It helps the tool understand exactly what to generate""], ""question"": ""Why is naming components in your prompt helpful for vibe coding tools?"", ""explanation"": ""When you say \""modal\"" instead of \""pop-up thing,\"" the AI app builder knows exactly what to build. Precision in, precision out!\n\nThe clearer your vocabulary, the fewer revision rounds you'll need."", ""correctAnswer"": 3}"
df6b7f61-c1b1-4cd7-9297-2185bfafb770,c76fb6c1-a149-49ad-853b-616a160bfe24,38,quiz-question,"{""options"": [""Serif fonts have small lines at the ends of letters; sans-serif fonts do not."", ""Sans-serif fonts have small lines at the ends of letters; serif fonts do not."", ""Monospace fonts have decorative elements; serif fonts do not."", ""All font types are the same.""], ""question"": ""What is the difference between serif and sans-serif fonts?"", ""isCorrect"": false, ""explanation"": ""Serif = little feet on letters (traditional, trustworthy). Sans-serif = no feet (modern, clean).\n\nMost apps go sans-serif for that fresh, friendly feel, but serif can be lovely for headings or brands going for a classic look!"", ""selectedAnswer"": ""Monospace fonts have decorative elements; serif fonts do not.""}",2026-06-20 13:37:20.935369+00,2026-06-20 13:37:20.935369+00,4794366d-b807-4804-8fd5-64c3a5a03472,"{""options"": [""Serif fonts have small lines at the ends of letters; sans-serif fonts do not."", ""Sans-serif fonts have small lines at the ends of letters; serif fonts do not."", ""Monospace fonts have decorative elements; serif fonts do not."", ""All font types are the same.""], ""question"": ""What is the difference between serif and sans-serif fonts?"", ""explanation"": ""Serif = little feet on letters (traditional, trustworthy). Sans-serif = no feet (modern, clean).\n\nMost apps go sans-serif for that fresh, friendly feel, but serif can be lovely for headings or brands going for a classic look!"", ""correctAnswer"": 0}"
8b80c990-b195-4470-b872-f0b6d90e0ff2,c76fb6c1-a149-49ad-853b-616a160bfe24,37,quiz-question,"{""options"": [""To pick a colour palette"", ""To generate wireframes automatically"", ""To provide reusable components and rules for consistent design"", ""To choose fonts for an app""], ""question"": ""What is the main role of a design system?"", ""isCorrect"": true, ""explanation"": ""Design systems give you pre-built components that already look good together. Most AI app builders use shadcn/ui, so you get beautiful, consistent design right out of the box!\n\nYou can reference their components by name for instant polish."", ""selectedAnswer"": ""To provide reusable components and rules for consistent design""}",2026-06-20 13:37:16.588156+00,2026-06-20 13:37:16.588156+00,4794366d-b807-4804-8fd5-64c3a5a03472,"{""options"": [""To pick a colour palette"", ""To generate wireframes automatically"", ""To provide reusable components and rules for consistent design"", ""To choose fonts for an app""], ""question"": ""What is the main role of a design system?"", ""explanation"": ""Design systems give you pre-built components that already look good together. Most AI app builders use shadcn/ui, so you get beautiful, consistent design right out of the box!\n\nYou can reference their components by name for instant polish."", ""correctAnswer"": 2}"
4993c365-9a83-42c2-918b-a672a27af88b,c76fb6c1-a149-49ad-853b-616a160bfe24,36,quiz-question,"{""options"": [""Dropdown"", ""Card"", ""Modal"", ""Button""], ""question"": ""Which component temporarily appears on the top layer of the screen to prompt the user?"", ""isCorrect"": true, ""explanation"": ""Modals pop up over everything else to grab attention, perfect for confirmations, warnings, or quick forms.\n\nIn the AI app builder, try: *\""Show a modal when the user clicks Delete.\""*"", ""selectedAnswer"": ""Modal""}",2026-06-20 13:37:13.203061+00,2026-06-20 13:37:13.203061+00,4794366d-b807-4804-8fd5-64c3a5a03472,"{""options"": [""Dropdown"", ""Card"", ""Modal"", ""Button""], ""question"": ""Which component temporarily appears on the top layer of the screen to prompt the user?"", ""explanation"": ""Modals pop up over everything else to grab attention, perfect for confirmations, warnings, or quick forms.\n\nIn the AI app builder, try: *\""Show a modal when the user clicks Delete.\""*"", ""correctAnswer"": 2}"
08cf1c90-38a4-47be-a035-9755dca07f37,c76fb6c1-a149-49ad-853b-616a160bfe24,17,reflection,"{""text"": ""TEST"", ""title"": ""Micro-reflection"", ""description"": ""What's one thing from this section that you'll take away? How might it change the way you describe what you want to build?"", ""subDescription"": ""Writing this down helps it stick, and you can remember it better next time you're building!""}",2026-06-20 13:36:28.279612+00,2026-06-20 13:36:28.279612+00,4794366d-b807-4804-8fd5-64c3a5a03472,"{""description"": ""What's one thing from this section that you'll take away? How might it change the way you describe what you want to build?"", ""placeholder"": ""Type your answer here..."", ""subDescription"": ""Writing this down helps it stick, and you can remember it better next time you're building!""}"
2e685042-9e3a-4e54-9c46-078b550cea37,c76fb6c1-a149-49ad-853b-616a160bfe24,16,quiz-question,"{""options"": [""The app won't load images or animations."", ""The app looks fine but can't load or save data."", ""The app's colours change randomly."", ""The database will automatically repair itself.""], ""question"": ""If the backend of an app stops working, what might users experience?"", ""isCorrect"": false, ""explanation"": ""When the backend goes down, your app still shows up (that's the frontend working!), but nothing that needs server communication works: no logging in, no saving, no loading data.\n\nThis is useful to know when troubleshooting! If buttons appear but nothing happens when you click them, it's often a backend issue."", ""selectedAnswer"": ""The app's colours change randomly.""}",2026-06-20 13:36:22.548033+00,2026-06-20 13:36:22.548033+00,4794366d-b807-4804-8fd5-64c3a5a03472,"{""options"": [""The app won't load images or animations."", ""The app looks fine but can't load or save data."", ""The app's colours change randomly."", ""The database will automatically repair itself.""], ""question"": ""If the backend of an app stops working, what might users experience?"", ""explanation"": ""When the backend goes down, your app still shows up (that's the frontend working!), but nothing that needs server communication works: no logging in, no saving, no loading data.\n\nThis is useful to know when troubleshooting! If buttons appear but nothing happens when you click them, it's often a backend issue."", ""correctAnswer"": 1}"
1295458f-ba96-49d4-8d13-b1c0a7c0f70d,c76fb6c1-a149-49ad-853b-616a160bfe24,15,quiz-question,"{""options"": [""The backend only"", ""The database directly"", ""The infrastructure"", ""The frontend displaying data from the backend""], ""question"": ""Which part of an app would handle showing a user their saved notes?"", ""isCorrect"": false, ""explanation"": ""It's teamwork! The backend fetches the notes from the database, then sends them to the frontend, which displays them beautifully.\n\nWhen you prompt for features like this, the AI app builder coordinates all three parts automatically."", ""selectedAnswer"": ""The infrastructure""}",2026-06-20 13:36:17.792908+00,2026-06-20 13:36:17.792908+00,4794366d-b807-4804-8fd5-64c3a5a03472,"{""options"": [""The backend only"", ""The database directly"", ""The infrastructure"", ""The frontend displaying data from the backend""], ""question"": ""Which part of an app would handle showing a user their saved notes?"", ""explanation"": ""It's teamwork! The backend fetches the notes from the database, then sends them to the frontend, which displays them beautifully.\n\nWhen you prompt for features like this, the AI app builder coordinates all three parts automatically."", ""correctAnswer"": 3}"
